"b1","b3","g1","g2","ra","re","rf","ay","ey","ax","ex","cy","cx","rc","b2","b4","reliability","doc_ncp","doc_df","doc_g1_hat","doc_g1_se","doc_ra_hat","doc_ra_se","doc_rc_hat","doc_rc_se","doc_ay2_hat","doc_ay2_se","doc_ey2_hat","doc_ey2_se","doc_ax2_hat","doc_ax2_se","doc_ex2_hat","doc_ex2_se","doc_cx2_hat","doc_cx2_se","doc_cy2_hat","doc_cy2_se","mrdoc_ncp","mrdoc_df","mrdoc_b1_hat","mrdoc_b1_se","mrdoc_b2_hat","mrdoc_b2_se","mrdoc_g1_hat","mrdoc_g1_se","mrdoc_ra_hat","mrdoc_ra_se","mrdoc_rc_hat","mrdoc_rc_se","mrdoc_ay2_hat","mrdoc_ay2_se","mrdoc_ey2_hat","mrdoc_ey2_se","mrdoc_ax2_hat","mrdoc_ax2_se","mrdoc_ex2_hat","mrdoc_ex2_se","mrdoc_cx2_hat","mrdoc_cx2_se","mrdoc_cy2_hat","mrdoc_cy2_se","mrdoc2_ncp","mrdoc2_df","mrdoc2_b1_hat","mrdoc2_b1_se","mrdoc2_b3_hat","mrdoc2_b3_se","mrdoc2_g1_hat","mrdoc2_g1_se","mrdoc2_g2_hat","mrdoc2_g2_se","mrdoc2_ra_hat","mrdoc2_ra_se","mrdoc2_rc_hat","mrdoc2_rc_se","mrdoc2_re_hat","mrdoc2_re_se","mrdoc2_rf_hat","mrdoc2_rf_se","mrdoc2_ay2_hat","mrdoc2_ay2_se","mrdoc2_ey2_hat","mrdoc2_ey2_se","mrdoc2_ax2_hat","mrdoc2_ax2_se","mrdoc2_ex2_hat","mrdoc2_ex2_se","mrdoc2_cx2_hat","mrdoc2_cx2_se","mrdoc2_cy2_hat","mrdoc2_cy2_se"
0.025,0.025,0.02,0.02,0.2,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0,0,0,FALSE,375.036365256412,18,0.493112204082043,0.0250282788679081,0.159140578267562,0.0617130964749249,-0.0228980135476634,0.0458858356438223,-0.0109252530249272,0.0685547159168605,0.68693741732778,0.0274705627157148,0.192937641284155,0.100736226683933,0.907638460513282,0.0375925661702538,0.106099454706182,0.0809186237599692,0.102882874597289,0.0538507365051128,377.41616633054,33,0.1658211320138,0.0184201395961208,-0.0267108099222813,0.0150693574176974,0.493112216994962,0.0249489681309479,0.163569451377626,0.0607519504499193,-0.0228977589730914,0.045460130219868,-0.0116388688416582,0.068532550041162,0.686937409507515,0.0274514594066397,0.165440606545324,0.0991123169813911,0.907638360011632,0.0374153200169187,0.106099852268028,0.0794796984446958,0.102883029564597,0.0537969628718745,1.49203812047563,52,0.158034484340422,0.0178258589458337,0.158034696859883,0.0178260501651985,0.141421490783992,0.105775587354461,0.141422955201911,0.105827967297978,0.199806546716245,0.0663255104739195,-6.79259047442999e-06,0.0531275315934735,0.19979825469153,0.122806222958024,0.199999506504803,0.0175271267091029,0.0999061265826083,0.0964778281887725,0.799199203414851,0.075010479341719,0.0999063208846444,0.0964840222250948,0.799198998210727,0.0750390841069466,0.0998929978341536,0.0678378015481697,0.0998937607236925,0.0678440845132695
0.025,0.025,0.02,0.02,0,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0,0,FALSE,375.374002221242,18,0.493112168960282,0.0250242864370077,-0.0240427124498857,0.0600670376398002,0.160285322775665,0.0449076424388891,0.12520060642668,0.067729339594489,0.68693742545584,0.0274479622806802,0.134095661022751,0.09906355017791,0.907638416467473,0.0375885806264426,0.16494159934524,0.0794956680094666,-0.0332429422639273,0.0537335985509034,377.577376667747,33,0.165821123462492,0.0183874997079011,-0.0267108081407425,0.0149030420920754,0.493112176989691,0.0249457326158287,-0.0196135637645866,0.0590458567323935,0.160285366389595,0.0444264958452317,0.124487042432741,0.0675944792256972,0.686937448249058,0.0274274651476291,0.106598920413106,0.0974285815666013,0.907638456685458,0.0374090754969678,0.164941574550205,0.0780425132968227,-0.0332428883026466,0.0535899845126157,1.49744458375062,52,0.158034726755237,0.0177596851366443,0.158034875613994,0.0177599748178599,0.141420851015843,0.1054719082295,0.141421932788659,0.105505876109055,1.94559628972338e-08,0.0638237976104016,0.199799949931224,0.0532590401144712,0.199799957853539,0.122263053158844,0.200000002234497,0.0175271852607948,0.0999001232497788,0.0837786835748556,0.799200378253103,0.0748311199707227,0.0998999595657171,0.0837794764805212,0.799199579040117,0.0748524450058957,0.0998997416885172,0.0812001410829068,0.0999001785468274,0.0811960119376463
0.025,0.025,0.02,0.02,0.2,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0,0,FALSE,426.127787830124,18,0.493111886658575,0.0236425985371365,0.159141547193932,0.0543654322037197,0.160284643495251,0.0412109022777557,-0.0109243464846621,0.0528746639728899,0.686936929836765,0.0247946424691993,0.192938121896424,0.0976539812479362,0.907637785176777,0.0369585092853532,0.164941547258891,0.0796647273894369,-0.0332432552668847,0.0397327542553549,428.691727889134,33,0.165821061479618,0.0188151241487979,-0.0267108180962084,0.0126096760897012,0.493112137404117,0.0235199326274625,0.163569725272602,0.0533581362108475,0.160285362610239,0.0407674050636164,-0.0116388342090544,0.052600100451604,0.686937494371316,0.0247215386064633,0.165441753544119,0.0957502697935373,0.907638878535697,0.036717665373539,0.164940634741012,0.0780590739121681,-0.0332428337124012,0.0394006071811589,1.42969751580858,52,0.158034635413317,0.0175259404428397,0.158034938717849,0.0175243627346904,0.14141962459308,0.104024502146779,0.141421672605369,0.10400869003091,0.19980040221354,0.0646206221296712,0.199800044185137,0.0539632854480131,0.199801066625118,0.116442334249094,0.199999936937717,0.0175270590701986,0.0999012226068014,0.0898403039596224,0.799200960915267,0.0734501528833599,0.0998998935441436,0.0898328353787024,0.799199662605502,0.0734388936271107,0.0998999177819329,0.0777517806762779,0.0999004997629873,0.077761404551047
0.025,0.025,0.02,0.02,0,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0,0,0,FALSE,343.748284646214,18,0.493112203547106,0.0254569376991501,-0.0240429839031224,0.0632130165738634,-0.0228977609251618,0.0478094485267657,0.125200346184143,0.0763407136525621,0.686937434248633,0.0285677768464226,0.134095230491888,0.0977444095965908,0.907638507291164,0.0373796006486608,0.10609971579766,0.0780549501359262,0.102883023072993,0.0612013304119927,345.349810500935,33,0.165821118035373,0.0178226531977227,-0.0267107773322903,0.0167422320212302,0.493112123047805,0.0253990619052792,-0.0196136462901145,0.0622527172859286,-0.0228978741372696,0.0473482257932099,0.124487007931802,0.0763031140281141,0.68693744379495,0.028566067725438,0.106598906293808,0.0961039047169601,0.907638452296974,0.0372001533870591,0.106099586514244,0.0766029468020198,0.102882929309816,0.0611718547271668,1.59545027720014,52,0.1580353275553,0.0178526429789356,0.158034273204508,0.0178519824244416,0.14142599893023,0.105956133849051,0.141416242892295,0.105985939047027,3.58351651473406e-07,0.0634778478148697,-5.12992534284285e-07,0.0514219327461754,0.199800691176361,0.126488814861715,0.200000092315574,0.0175271002786479,0.0998989825319692,0.085293170849218,0.799196769829546,0.0751886804235307,0.0998994054547009,0.0853111307752104,0.799204856344466,0.0752115032706061,0.099900311088937,0.0680942154282386,0.0998999397344761,0.0680808886198243
0.025,0.025,0.02,0.02,0,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0,0,TRUE,75.898295909903,18,0.224497559813849,0.0257574208065148,0.0119798609377497,0.128745220550484,0.204587975464107,0.0990425907782045,0.121957995262141,0.161348761973,1.65183563096809,0.0658579975364654,0.134095575285136,0.199238865553704,1.993646959864,0.0801545144654427,0.164940734399112,0.158240246039191,0.0647701929611013,0.127693608381056,76.1026038994314,33,0.165823101652013,0.024758042705311,0.0178296368218735,0.0224806942250226,0.224497525653658,0.0257195740100495,0.00901908850809745,0.1277166531989,0.204591148319848,0.0985425416622871,0.121636160011282,0.161405439035077,1.65183501853618,0.0658619112003414,0.106605210063704,0.197262914211491,1.99364503320563,0.0798991790972433,0.16493732077013,0.156583621855947,0.0647727585554387,0.127741079588363,0.911004241432238,52,0.158035033796603,0.0250465507266025,0.158034448582723,0.0236885128849509,0.141418353492583,0.141104300712543,0.141414943323978,0.149155677271867,-7.50632807852517e-07,0.123862178896172,0.199803144994291,0.100553654589622,-0.0732223153857716,0.369920843579458,0.200000126905463,0.0175270962268615,0.0999040416854153,0.163264534418871,1.66559387730614,0.0813180772229094,0.0999021386922477,0.184398481796673,1.90210378901996,0.0963556052013313,0.0999011715694514,0.160051688800121,0.0998984020276955,0.143455165630708
0.025,0.025,0.02,0.02,0,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0,0,0,TRUE,78.5344158273983,18,0.230623482150581,0.0258467410657667,0.0111553850818251,0.126566454577041,0.00495210951537872,0.0976109912026122,0.12181743826511,0.16100272919266,1.60790199129325,0.0646752939699352,0.134093549326324,0.192394829369534,1.94068879224016,0.0778034745070393,0.106101680672073,0.152507935000977,0.0981733873317411,0.127684902408906,78.7682973449919,33,0.165820989036906,0.0240371099363196,0.0168153066678491,0.0225960797000597,0.230623144118458,0.0258048184413157,0.00836651348246537,0.12548699688298,0.00495289845111322,0.0970778047926122,0.121534610885229,0.161049018336242,1.6079027135833,0.064683674360535,0.106597463158425,0.190670143796817,1.94068863577141,0.0775845780742597,0.106100810979227,0.151047427044144,0.0981728052589851,0.127718055275501,0.968571772937139,52,0.158035105513863,0.0248012324377485,0.158035154847452,0.0234931758395221,0.14142448969212,0.139985413123838,0.141420906502924,0.147713401735308,-7.25769249521399e-07,0.122639332168228,4.29516469042914e-07,0.0980190453956167,-0.0599295158053112,0.362790024455587,0.199999835814723,0.0175271581190576,0.0999030443984358,0.16099123801803,1.62334306240087,0.0811460825130152,0.0999024273938909,0.18137601605465,1.8483203365561,0.0956021686016922,0.0998980765131654,0.143719516813677,0.0998974052139509,0.127625226131541
0.025,0.025,0.02,0.02,0.2,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0,0,0,TRUE,75.9214422416662,18,0.22449705238619,0.0257484524547961,0.210965988331697,0.130549597493982,0.00560245009644557,0.10030932115879,0.0884909860249962,0.162651375039174,1.65183450550472,0.0658658834281845,0.192937424714158,0.200754473865214,1.99364646018177,0.0801923508503054,0.106099899111314,0.159521499171604,0.098236591900885,0.128342427483527,76.1280547661372,33,0.165820796927616,0.0247576462914745,0.0178308344591382,0.0225255508660124,0.224497317202151,0.0257060046193341,0.208009808055435,0.12943073236125,0.00560154660012246,0.0997421270188448,0.0881734753752958,0.16242457415032,1.65183349152114,0.0658390252271177,0.165439534449788,0.198481223408955,1.99364633675698,0.0799013531270973,0.106100700329443,0.157637356313278,0.0982365749233466,0.128179376816997,0.911273110606999,52,0.158034913449906,0.0250842282916049,0.158034712771551,0.0237206561895278,0.141423818849663,0.141377465666393,0.141422391391377,0.149751278574728,0.199800432726366,0.125943433261646,-7.66855044012395e-07,0.0999189305534853,-0.0732467701458776,0.371464784272179,0.19999992727689,0.0175272208142528,0.0998983659542678,0.175165281422601,1.66559173641917,0.0813604562700772,0.0998980760472161,0.196678883237476,1.90210192612,0.0964668421688098,0.0999009306645511,0.147109275883724,0.0999010207578004,0.130197487162711
0.05,0.025,0.02,0.02,0,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0,0,0,FALSE,342.032467977562,18,0.493112285886954,0.0255102138743248,-0.0312915837808526,0.0641491633766969,-0.0228979792688494,0.0482669280319441,0.127007154040331,0.0764433542007692,0.686937462375956,0.0285744225767129,0.160709697994388,0.0992647690538511,0.907638661812293,0.0375364911021373,0.106099416970283,0.0794207090943536,0.102882965901773,0.0612842808081946,345.349810501482,33,0.232617220773832,0.0179466911003978,-0.0502023474356836,0.0172560365207141,0.493112130301986,0.0253983712850701,-0.0196137246643746,0.062248972652461,-0.0228977029262819,0.047345690676776,0.124486967572985,0.0763042530368328,0.686937460448653,0.0285665145542389,0.106598752696132,0.0960470250243863,0.907638479236612,0.037191102740729,0.106099660728274,0.0765608132882512,0.102882845589847,0.0611727453942365,3.18992885048647,52,0.223494912855379,0.0183182762502422,0.158034847794195,0.0176341655861193,0.141421145221418,0.0749590718894194,0.141421932616457,0.105976037308072,-3.87826541338193e-07,0.0630314199947519,9.58410061486588e-08,0.0508681051924763,0.199799952741698,0.110320360888214,0.200000006450779,0.0175271273443187,0.0998992915355255,0.0852769717804301,0.799200449380687,0.0580366913527076,0.0998991907034606,0.0853025770199473,0.799199847469357,0.0752009242816682,0.0999004616951773,0.0680886775830549,0.0999005190600633,0.0680551938276256
0.025,0.025,0.02,0.02,0.2,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0,0,TRUE,74.155539567184,18,0.218688022766713,0.0255071471171552,0.212086124172533,0.131437545333641,0.205550281709147,0.101232505868543,0.0909507463567905,0.161821232765944,1.69562211647267,0.0666762030524667,0.19293818855389,0.205171615254546,2.04660474461102,0.0820904707229832,0.164940875010157,0.163704173770232,0.0671497545369926,0.126820817867481,74.3486659101218,33,0.165821433394241,0.0254047349963015,0.0187949699248255,0.0223929057507747,0.21868703240642,0.0254643177937784,0.208978285254885,0.130317911794001,0.205543578921744,0.100657721257095,0.0905882940843245,0.161693211550009,1.69562786576832,0.0666653726122942,0.165438852251946,0.203157898313697,2.04660172633295,0.0818373859779039,0.164945278202778,0.16200710629233,0.0671553181746702,0.126730177356006,0.863679127833166,52,0.158035801781671,0.0252628168379599,0.158034966514206,0.0238603029999564,0.141422100335153,0.142275389096348,0.14141611192069,0.150815958344306,0.199798323828015,0.125844582545317,0.19980400447249,0.101835871061325,-0.0865481652028883,0.3781951778378,0.200000111427532,0.0175272138930605,0.0999021256353957,0.175776236848371,1.70783568315656,0.0811969665232285,0.0999062113073985,0.197706105431556,1.95588309172353,0.0968159191812416,0.0999014410600453,0.162356308672225,0.0999012164858089,0.144957067935283
0.05,0.025,0.02,0.02,0,0.2,0.2,0.1,0.8,0.1,0.8,0.1,0.1,0.2,0,0,FALSE,372.794481989327,18,0.493112260796501,0.0251071315775976,-0.0312920452752103,0.0611118251781849,0.160285793752092,0.0454065419536304,0.127006624881427,0.0679807379000058,0.686937441500988,0.0274842589498778,0.160709873063512,0.100609590848532,0.907638321706175,0.0377512097719053,0.164941441911654,0.0808805134385798,-0.0332424387292592,0.053979613070202,377.577376685733,33,0.232617201190047,0.0185076930843259,-0.0502023727061545,0.0154584334697112,0.493112181165197,0.0249461025271737,-0.019613606788203,0.0590487569363582,0.160285411419697,0.0444287538188751,0.124487051479119,0.0676001829042036,0.686937459117874,0.0274286576456143,0.106598842736517,0.0974285439725587,0.907638470590492,0.0374095992348837,0.164941648411832,0.0780415689434193,-0.033242888794326,0.0535941539550954,2.99405264823508,52,0.223495438815135,0.0182218201415781,0.158034644465026,0.0175398833207244,0.141420042225434,0.0745467411840729,0.141416439870215,0.105421137002014,-2.4698579681137e-07,0.0633995091311326,0.199801290303714,0.0524377764432764,0.199805388967646,0.106774866544946,0.199999877072221,0.0175271652208924,0.0999014878610319,0.0837158548145653,0.799199617250402,0.0577052800964338,0.0999005621122233,0.0837495551128823,0.799202944520209,0.0747990194531302,0.0999015690498392,0.0811557456535097,0.0998993965546788,0.07433938626896
